real_ddG,predicted_ddG,index,set,Inner_Fold,Outer_Fold
-9.081853,-7.529032,445,Test,2,1
6.7501397,8.680948,446,Test,2,1
6.9499965,9.135768,450,Test,2,1
7.911209,9.120166,451,Test,2,1
10.456662,12.422704,462,Test,2,1
9.809491,11.787603,473,Test,2,1
11.200126,10.617419,475,Test,2,1
11.582187,10.759101,479,Test,2,1
3.1565387,6.8348737,486,Test,2,1
14.662326,12.316333,501,Test,2,1
11.591216,12.357834,504,Test,2,1
12.728371,13.18817,506,Test,2,1
12.346309,9.56135,522,Test,2,1
6.498485,9.277362,525,Test,2,1
-7.6409483,-7.6150007,533,Test,2,1
-6.7501397,-8.189309,534,Test,2,1
-8.538893,-4.5521536,535,Test,2,1
9.081853,3.9077327,544,Test,2,1
13.121934,6.6627946,545,Test,2,1
13.121934,4.0294275,546,Test,2,1
8.010414,9.210718,553,Test,2,1
2.657753,4.635899,554,Test,2,1
9.647698,9.355699,566,Test,2,1
9.081853,9.690081,567,Test,2,1
5.0932493,-10.635999,572,Test,2,1
8.575752,8.004575,580,Test,2,1
-9.647698,-8.107408,581,Test,2,1
-8.222192,-7.683377,582,Test,2,1
-7.2991705,-7.343663,584,Test,2,1
-7.2991705,-5.785522,588,Test,2,1
-7.2991705,-3.7748766,591,Test,2,1
-7.049818,-3.6251726,592,Test,2,1
-6.8209686,-4.01129,593,Test,2,1
-7.573369,-3.527013,594,Test,2,1
-9.647698,-4.0872755,597,Test,2,1
-8.911627,-5.0815973,609,Test,2,1
-8.911627,-5.5622725,613,Test,2,1
-8.538893,-8.188211,623,Test,2,1
-8.538893,-7.520231,625,Test,2,1
-9.339688,-8.006649,627,Test,2,1
-2.8103404,-6.2376313,630,Test,2,1
-11.391156,-7.923015,647,Test,2,1
14.256616,8.883173,653,Test,2,1
14.634608,10.60328,665,Test,2,1
